OBJECTID,pointid,rate,region
1,1,0.04117823077,North
2,2,0.04121712417,North
3,3,0.03991113601,North
4,4,0.04088144965,North
5,5,0.04097035663,North
6,6,0.04121715719,North
7,7,0.04121715719,North
8,8,0.04086476285,North
9,9,0.03985094392,North
10,10,0.04095959845,North
11,11,0.03987834121,North
12,12,0.02606075102,North
13,13,0.03527092758,North
14,14,0.04095826293,North
15,15,0.03982596255,North
16,16,0.04095793704,North
17,17,0.04156077108,North
18,18,0.04121204299,North
19,19,0.04095839130,North
20,20,0.04098975291,North
21,21,0.04115499961,North
22,22,0.04121485909,North
23,23,0.04120134909,North
24,24,0.04110424638,North
25,25,0.04110499637,North
26,26,0.04110517187,North
27,27,0.04109853096,North
28,28,0.04111935996,North
29,29,0.04120140969,North
30,30,0.04120140969,North
31,31,0.04102744023,North
32,32,0.03969047177,North
33,33,0.04112325187,North
34,34,0.03971919927,North
35,35,0.04113818734,North
36,36,0.04110406510,North
37,37,0.04102695002,North
38,38,0.04099743523,North
39,39,0.04078650371,North
40,40,0.04090719525,North
41,41,0.03970369687,North
42,42,0.04110499637,North
43,43,0.03974660571,North
44,44,0.04099854047,North
45,45,0.04102752727,North
46,46,0.04100762037,North
47,47,0.04079908253,North
48,48,0.04111176608,North
49,49,0.04087387194,North
50,50,0.03675091436,North
51,51,0.03675093273,North
52,52,0.04112523674,North
53,53,0.04103725453,North
54,54,0.04088066417,North
55,55,0.03817765517,North
56,56,0.04080083462,North
57,57,0.03814959679,North
58,58,0.04087493801,North
59,59,0.04087513818,North
60,60,0.04087513818,North
61,61,0.04108662793,North
62,62,0.04087507330,North
63,63,0.04090764675,North
64,64,0.03968141038,North
65,65,0.04090718633,North
66,66,0.04090732752,North
67,67,0.04097351156,North
68,68,0.04087502340,North
69,69,0.04089112448,North
70,70,0.04084941578,North
71,71,0.04051855642,North
72,72,0.04123172003,North
73,73,0.04089898809,North
74,74,0.04089873950,North
75,75,0.04088684645,North
76,76,0.04089232493,North
77,77,0.04103135480,North
78,78,0.04089091149,North
79,79,0.04087533057,North
80,80,0.04096746677,North
81,81,0.04089091149,North
82,82,0.03603054265,North
83,83,0.04054105580,North
84,84,0.04051711950,North
85,85,0.04089817293,North
86,86,0.04088036373,North
87,87,0.04087936940,North
88,88,0.03597355271,North
89,89,0.03514628951,North
90,90,0.04091588423,North
91,91,0.04087541596,North
92,92,0.04087537129,North
93,93,0.04087522152,North
94,94,0.04090848708,North
95,95,0.03509912365,North
96,96,0.03473956358,North
97,97,0.03936859119,North
98,98,0.04084693452,North
99,99,0.04085074235,North
100,100,0.04070886108,North
101,101,0.04087537129,North
102,102,0.04110401867,North
103,103,0.04124782032,North
104,104,0.04048988073,North
105,105,0.04073669232,North
106,106,0.04085539923,North
107,107,0.04115708460,North
108,108,0.04115443634,North
109,109,0.04070997196,North
110,110,0.04090161317,North
111,111,0.04095198862,North
112,112,0.04090506163,North
113,113,0.04051704367,North
114,114,0.03913273264,North
115,115,0.04120849973,North
116,116,0.04120377656,North
117,117,0.04112102985,North
118,118,0.04106657113,North
119,119,0.04087786611,North
120,120,0.04094622770,North
121,121,0.04095289844,North
122,122,0.04054642322,North
123,123,0.04008143973,North
124,124,0.04107990462,North
125,125,0.04103969380,North
126,126,0.04064197122,North
127,127,0.04088132641,North
128,128,0.04113282218,North
129,129,0.04096091490,North
130,130,0.04097123529,North
131,131,0.04049148021,North
132,132,0.03918299587,North
133,133,0.03919420381,North
134,134,0.04073721993,North
135,135,0.04072210244,North
136,136,0.04043541563,North
137,137,0.04095513920,North
138,138,0.04105005473,North
139,139,0.04082297669,North
140,140,0.04127677609,North
141,141,0.04118146236,North
142,142,0.04096051085,North
143,143,0.04054086750,North
144,144,0.04048603097,North
145,145,0.03964072509,North
146,146,0.04043331165,North
147,147,0.04204021807,North
148,148,0.03844090462,North
149,149,0.04027371935,North
150,150,0.04043504697,North
151,151,0.04082712981,North
152,152,0.04091207042,North
153,153,0.04096600434,North
154,154,0.04049086766,North
155,155,0.04048275134,North
156,156,0.03963224971,North
157,157,0.03963637848,North
158,158,0.03964464479,North
159,159,0.03920176392,North
160,160,0.04123824392,North
161,161,0.04114558179,North
162,162,0.04077342683,North
163,163,0.04079381089,North
164,164,0.04145032529,North
165,165,0.04136550847,North
166,166,0.04062327709,North
167,167,0.04055944857,North
168,168,0.04057152948,North
169,169,0.03963140751,North
170,170,0.03963224971,North
171,171,0.04042180248,North
172,172,0.03963316621,North
173,173,0.03966345789,North
174,174,0.03798746839,North
175,175,0.04049844094,North
176,176,0.03861855096,North
177,177,0.04036310910,North
178,178,0.04031175898,North
179,179,0.04013423144,North
180,180,0.04029382831,North
181,181,0.04042094036,North
182,182,0.04110485968,North
183,183,0.04111287710,North
184,184,0.04086113969,North
185,185,0.04081408450,North
186,186,0.04113505593,North
187,187,0.04122723673,North
188,188,0.04130038225,North
189,189,0.04144602873,North
190,190,0.04152234261,North
191,191,0.04132633191,North
192,192,0.04062777111,North
193,193,0.03878481382,North
194,194,0.03953631354,North
195,195,0.03963087492,North
196,196,0.04007713537,North
197,197,0.03965090551,North
198,198,0.03963087492,North
199,199,0.03963597412,North
200,200,0.04119061615,North
201,201,0.03782659648,North
202,202,0.03853398576,North
203,203,0.04030632059,North
204,204,0.03674821480,North
205,205,0.04130557082,North
206,206,0.04110689708,North
207,207,0.04130318061,North
208,208,0.04112063533,North
209,209,0.04127980781,North
210,210,0.04063565948,North
211,211,0.04143580855,North
212,212,0.04045370530,North
213,213,0.04137318601,North
214,214,0.04059869802,North
215,215,0.03891764004,North
216,216,0.04011843583,North
217,217,0.04022982788,North
218,218,0.04007813946,North
